Cell_ID,RNTI,CQI,Layers,MCS,CQI_Change,RI_Change,Margin_ChangeM,Nack,Alloc_RBs,DL_Aggregation_Level_1,DLAL_2,DLAL_4,DLAL_8,DLAL_16,DL-BLER,RI,DL-CQI,DL-MCS,256QAM,Small_Alloc,UL-BLER-CRC,UL-CQI,UL-MCS,C2I,256QAM_1,Meas_Gap,Connected,BeamID,ConnectedTime_min,Time_Delta,Jammer_On
1,2265,5,1,0,0,0,0,0,2,0,0,0,0,0,0,1,5,8,0,0,0,0,7,7.8,0,0,0,1,0,21,0
1,2265,5,1,0,0,0,0,0,2,0,0,0,0,0,0,1,5,8,0,0,0,0,7,7.8,0,0,0,1,0,10,0
1,2265,5,1,6,0,0,0,0,2,0,0,0,0,0,0,1,5,6,0,0,0,0,5,6.6,0,0,0,1,0,10,0
1,2265,5,1,6,0,0,0,0,2,0,0,0,0,0,0,1,5,6,0,0,0,0,6,7.2,0,0,0,1,0,27,0
1,2265,5,1,6,0,0,0,0,2,0,0,0,0,0,0,1,5,6,0,0,0,0,7,7.8,0,0,0,1,0,21,0
1,2265,5,1,6,0,0,0,0,2,0,0,0,0,0,0,1,5,6,0,0,0,0,4,5.2,0,0,0,1,0,10,0
1,2265,5,1,6,0,0,0,0,2,0,0,0,0,0,0,1,5,6,0,0,0,0,6,7.2,0,0,0,1,0,11,0
1,2265,5,1,6,0,0,0,0,2,0,0,0,0,0,0,1,5,6,0,0,0,0,4,5.2,0,0,0,1,0,10,0
1,2265,5,1,6,0,0,0,0,2,0,0,0,0,0,0,1,5,6,0,0,0,0,3,3.4,0,0,0,1,0,10,0
1,2265,5,1,6,0,0,0,0,2,0,0,0,0,0,0,1,5,6,0,0,0,0,1,1.8,0,0,0,1,0,10,0
1,2265,5,1,6,0,0,0,0,2,0,0,0,0,0,0,1,6,6,0,0,0,0,1,1.8,0,0,0,1,0,10,0
1,2265,5,1,6,0,0,0,0,2,0,0,0,0,0,0,1,5,6,0,0,0,0,1,2.0,0,0,0,1,0,10,0
1,2265,6,1,6,0,0,0,0,2,0,0,0,0,0,0,1,6,6,0,0,0,0,1,1.8,0,0,0,1,0,10,0
